Request #, Status Code, Response Time (s)
1, 200, 0.379
2, 200, 0.254
3, 200, 0.663
4, 200, 0.412
5, 200, 0.231
6, 200, 0.233
7, 200, 0.767
8, 200, 0.295
9, 200, 0.257
10, 200, 0.244
11, 200, 0.390
12, 200, 0.427
13, 200, 1.025
14, 200, 0.405
15, 200, 0.312
16, 200, 0.412
17, 200, 0.300
18, 200, 0.310
19, 200, 0.310
20, 200, 0.305
21, 200, 0.304
22, 200, 0.311
23, 200, 0.308
24, 200, 0.712
25, 200, 0.280
26, 200, 0.280
27, 200, 0.249
28, 200, 0.380
29, 200, 0.307
30, 200, 0.310
31, 200, 0.294
32, 200, 0.310
33, 200, 0.260
34, 200, 0.251
35, 200, 0.263
36, 200, 0.283
37, 200, 0.775
38, 200, 0.522
39, 200, 0.310
40, 200, 0.310
41, 200, 0.244
42, 200, 0.314
43, 200, 0.339
44, 200, 0.298
45, 200, 0.306
46, 200, 0.300
47, 200, 0.329
48, 200, 0.219
49, 200, 0.252
50, 200, 0.258
51, 200, 0.311
52, 200, 0.302
53, 200, 0.513
54, 200, 0.222
55, 200, 0.288
56, 200, 0.307
57, 200, 0.251
58, 200, 0.238
59, 200, 0.263
60, 200, 0.372
61, 200, 0.300
62, 200, 0.311
63, 200, 0.304
64, 200, 0.314
65, 200, 0.308
66, 200, 0.300
67, 200, 0.248
68, 200, 0.668
69, 200, 0.500
70, 200, 0.324
71, 200, 0.257
72, 200, 0.594
73, 200, 0.254
74, 200, 0.297
75, 200, 0.301
76, 200, 0.313
77, 200, 0.306
78, 200, 0.259
79, 200, 0.210
80, 200, 0.243
81, 200, 0.303
82, 200, 0.310
83, 200, 0.410
84, 200, 0.309
85, 200, 0.306
86, 200, 0.305
87, 200, 0.238
88, 200, 0.270
89, 200, 0.235
90, 200, 0.275
91, 200, 0.614
92, 200, 0.309
93, 200, 0.303
94, 200, 0.250
95, 200, 0.257
96, 200, 0.273
97, 200, 0.867
98, 200, 0.261
99, 200, 0.238
100, 200, 0.595
